Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,1.985464334487915
40,3,1e-06,SA,1943.50418112704,16,16,2.1480884552001953
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.0304715633392334
40,3,1e-06,SA,1915.6652139959747,15,15,2.7649290561676025
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.6307711601257324
40,3,1e-06,SA,1931.896552481537,16,16,2.213695526123047
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.0539393424987793
40,3,1e-06,SA,1943.9363686804693,16,16,2.1552586555480957
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.0443835258483887
40,3,1e-06,SA,1908.5970806959988,15,15,3.0174760818481445
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.214282989501953
40,3,1e-06,SA,1926.9811326991482,16,16,2.1426563262939453
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,1.9751086235046387
40,4,1e-06,Greedy,1819.1616497406446,12,14,0.0035207271575927734
40,4,1e-06,SA,1846.2123194223088,13,15,2.0982329845428467
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.01733660697937
40,4,1e-06,SA,1845.556335355685,13,15,3.1041953563690186
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.1162774562835693
40,4,1e-06,SA,1835.263533758352,14,14,2.1226751804351807
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.0392603874206543
40,4,1e-06,SA,1821.2546985382485,13,13,2.117610454559326
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.1841864585876465
40,4,1e-06,SA,1846.5469940332064,14,16,2.949514865875244
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.0087833404541016
40,4,1e-06,SA,1846.2123194223088,13,15,2.059297561645508
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,1.9961333274841309
40,4,1e-06,SA,1860.375998750518,14,14,2.093559980392456
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.2504518032073975
40,4,1e-06,SA,1848.4020325434285,14,16,2.936461925506592
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,1.9734437465667725
40,4,1e-06,SA,1846.9464759651362,14,16,2.0891458988189697
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,1.997340202331543
40,4,1e-06,SA,1838.574523184985,13,15,2.1392428874969482
40,4,1e-06,Adaptive SA,1819.1616497406446,12,14,2.445923328399658
40,5,1e-06,Greedy,1659.7383585132761,13,13,0.004756450653076172
40,5,1e-06,SA,1699.8692049073397,15,15,2.808061122894287
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,1.998910665512085
40,5,1e-06,SA,1659.7383585132764,13,13,2.012523651123047
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,1.9953408241271973
40,5,1e-06,SA,1681.7763381717402,15,15,2.214768886566162
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,2.5263583660125732
40,5,1e-06,SA,1659.7383585132764,13,13,2.7205357551574707
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,2.0691568851470947
40,5,1e-06,SA,1682.3374403015553,14,14,2.2188408374786377
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,2.102619171142578
40,5,1e-06,SA,1674.3178787943646,14,14,2.21854829788208
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,3.056896924972534
40,5,1e-06,SA,1677.6729872561868,14,14,2.257460832595825
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,2.0386219024658203
40,5,1e-06,SA,1685.1975433267746,14,14,2.107759714126587
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,1.9734737873077393
40,5,1e-06,SA,1678.8768756504828,14,14,2.1481077671051025
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,3.024958610534668
40,5,1e-06,SA,1681.8585240049956,14,14,2.1641838550567627
40,5,1e-06,Adaptive SA,1659.7383585132764,13,13,2.08762264251709
40,6,1e-06,Greedy,2009.7861355596592,14,14,0.004718303680419922
40,6,1e-06,SA,2009.7861355596592,14,14,2.2392637729644775
40,6,1e-06,Adaptive SA,2009.7861355596592,14,14,2.1790592670440674
